word,meaning
easy,"בקלות, בנקל"
"easy come easy go","מה שבא בקלות הולך בקלות"
"eat like a bird","לאכול כציפור, לטעום כזית, לאכול מעט מאוד"
"eating niche","פינת אוכל"
ebonised,"מושחר, צבוע בשחור (רהיטים למשל); דמוי ההובנה (עץ שחור)"
ebook,"ספרים אלקטרוניים (באינטרנט)"
ecdemic,"שלא במקומו, שמקורו מחוץ למקום"
echocardiograph,"קרדיוגרף, מכשיר על-שמע המספק תרשים חזותי של מבנה הלב ופעילותו"
echoer,"מהדהד"
ecocide,"שואה אקולוגית, הרס הסביבה"
ecologically,"מבחינה אקולוגית (בכל הקשור לסביבה ולאיכות הסביבה)"
"economic profit","רווח כלכלי (כספים שעסק יכול לחלק בתום תקופה חשבונאית בלא להפחית את שוויו ביחס לראשית התקופה)"
economical,"חסכוני"
economize,"[e'con·o·mize || -maɪz]<br>לחסוך; לקמץ (גם economise)"
ecoroof,"גג ירוק, גג אקולוגי, גג מכוסה צמחים"
ecstatic,"נלהב"
"edge out","להזיז אדם בהדרגה מחוץ לעמדה, להוציא משהו החוצה; (לא רשמי) לנצח אדם או מתחרה ביתרון קטן"
edict,"צו, פקודה"
edification,"חינוך, חיזוק הרוח"
editorializer,"מביע את דעות העורך"
"educational planning","תכנון מערכת חינוך"
"educational reform","רפורמה בחינוך"
"educational software","לומדה (תוכנת מחשב חינוכית, תכנית לימוד במחשב)"
eeriness,"תעלומה; הפחדה"
efficiently,"ביעילות"
egalitarian,"של שוויון זכויות"
ego,"האני, אגו"
egoistical,"אנוכי, אגואיסט"
"eighth part","חלק שמיני"
eighty,"שמונים"
eject,"לגרש, לפלוט"
ejectable,"נפלט, בר-פליטה"
ejection,"פיטורין; פליטה (של רוק)"
eke,"להגדיל (ארכאי)"
"elaborate a remark","לנמק הערה, לפרט הערה"
"elaborated on","הרחיב את הדיבור על-"
"elastic bandage","תחבושת אלסטית"
elastomer,"אלסטומר (בכימיה-חומר אלסטי טבעי או סינטטי)"
"electric chair","כיסא חשמלי, מתקן הפועל על זרמי חשמל גבוהים קטלניים, מתקן המשמש בארה&quot;ב להוצאה לפועל של עונש מוות, כיסא-חשמל"
"electric goods","מכשירי חשמל"
"electric mine","מוקש חשמלי"
"electric needle","מחט חשמלית"
"electric power","כוח חשמלי"
"electric toothbrush","מברשת-שיניים חשמלית"
electrically,"באמצעות חשמל"
"electricity mains","רשת-חשמל"
electrodeposit,"להשקיע חומר על ידי אלקטרוליזה, להשקיע חומר שנמס על אלקטרודה בזמן אלקטרוליזה"
"electromagnetic interference","התאבכות אלקטרומגנטית, הפרעה בפעולת מכשירים חשמליים הנובעת מהימצאות קרינה אלקטרומגנטית בקרבתם"
electromechanics,"אלקטרו-מכניקה, ענף בפיסיקה החוקר תנועת גופים בנוכחות שדה חשמלי"
electrometrically,"באמצעות אלקטרומטר (מכשיר למדידת הפרשי פוטנציאלים)"
"electromotive force","כוח אלקטרומוטורי, כוח אלקטרומניע (כוח המניע באמצעות חשמל)"
"electron optics","אופטיקה אלקטרונית"
"electronics engineering","הנדסת אלקטרוניקה"
electrosurgery,"שימוש במכשירי חשמל בניתוחים"
elemental,"פשוט; יסודי; של איתני הטבע"
elementary,"יסודי, אלמנטרי"
eleventh,"החלק האחד-עשר"
eloign,"להרחיק, לסלק"
elver,"צלופח צעיר"
emasculated,"מעוקר, מסורס, שעבר עיקור (לגבי הזכרים בבעלי-חיים)"
embalm,"לחנוט; להנציח"
embedding,"הטבעה, שילוב אובייקט בחלונות בתוך מסמך"
emblematical,"סמלי"
emblements,"רווחי יבול (במשפט)"
embodier,"מגלם, מממש"
embourgeoisement,"אימוץ מנהגים או סגנון של המעמד הבינוני, הענקת צביון בורגני"
embrittlement,"שבירות, פריכות, היות פריר; אבדן גמישות; התקשות והשתברות של חומר קשה עקב גילו או היותו חשוף לתנאי אקלים קיצוניים"
embryoma,"גידול עוברי"
embus,"לשים באוטובוס; לעלות לאוטובוס"
"emergency mobilization","גיוס חירום"
emigration,"הגירה"
emigratory,"נודד,נוודי; של הגירה; של ציפורים וחיות אחרות הנודדות לפי העונות; שנודד; שמהגר"
"eminent domain","הפקעה לצורכי ציבור (הלאמה למען מטרות ציבוריות, החרמה לטובת הקהילה)"
"emission inventory","מלאי פליטה, מערכת לרישום וניתוח כמות זיהום האוויר הנפלטת לאטמוספירה system of recording and analyzing the amount of air pollutants emitted into the atmosphere"
emmenagogic,"של החשת הווסת"
emotionalist,"רגשן"
emphasise,"להדגיש, להטעים (גם emphasize)"
"empiric science","מדע אמפירי (מדע המבוסס על ניסויים, מדע עובדתי, מדע המבוסס על תצפיות)"
employable,"בר-העסקה"
"employed capital","הון מנוצל (חלק מההון בו העסק השתמש לפעילותו)"
"employees committee","ועד עובדים"
employing,"שימוש ב-, נקיטה ב-; העסקה"
empoison,"להשחית, לקלקל; לגרום למרירות; לעורר התמרמרות; (ארכאי) להרעיל"
"empty headed","נבוב-ראש, בור ועם הארץ"
emulative,"חקייני"
emulous,"מחקה, שואף, רודף"
enablement,"אפשור, היות דבר אפשרי; יכולת, כישרון"
encephalitic,"של דלקת המוח"
encephalopathy,"אנצפלופתיה, מחלת מוח (ברפואה)"
encumbrance,"משא, מעמסה, נטל"
encumbrancer,"בעל שיעבוד, משעבד (במשפטים)"
encyclic,"מיועד להישמע ברבים"
endocardium,"פנים הלב"
endodontically,"ע&quot;י טיפול שורש (ברפואת שיניים)"
endower,"מעניק; תורם"
enduringly,"באופן מתמיד, תוך נשיאה בעול, ללא הפסקה, בצורה המשכית"
enfeeblement,"החלשה, התשה; חולשה, תשישות, רפיון, עייפות"
"engagement of target","העסקת המטרה (ירי רצוף ויעיל לעבר האויב)"
"engagement ring","טבעת אירוסין"
"engine house","מבנה בו חונים קטרים וכבאיות שאינם בשימוש"
engineer,"מהנדס"
engraved,"חרוט, חקוק, מגולף"
enjoyer,"נהנה"
enlisted,"מגויס"
enlivenment,"הפחת רוח חיים"
ennoble,"להאציל; לעדן"
enokidake,"פטריית אנוקי, פטריה אכילה לבנה קטנה בעלת טעם עדין וגבעול דק שמקורה ביפן"
enormity,"זוועה, פשע; גודל"
enquiry,"חקירה"
ensilage,"תחמיץ (בסילו)"
"enter into a bond with","להגיע לידי הסכם עם"
entering,"כניסה; הכנסה"
enterocolitis,"דלקת המעי הגס והדק"
enterozoan,"של תולעי מעיים, של טפילי מעיים"
enthusiast,"מתלהב, מעריץ"
entitled,"רשאי, זכאי"
enviously,"מתוך קנאה"
epee,"סיף"
epidemic,"מגיפה, אפידמיה"
epidemical,"מגיפתי, אפידמי"
epidemiology,"אפידמיולוגיה (ברפואה-חקר מגיפות)"
epiglottal,"של האפיגלוטיס, של מכסה הקנה (באנטומיה)"
epigrammatizer,"מחבר מכתמים"
epilogue,"אפילוג, אחרית דבר"
epiphyseal,"של קצה העצם (באנטומיה)"
epiphysial,"של קצה העצם (באנטומיה)"
epitaph,"כתובת על מצבה"
epoc,"אפוק (מערכת הפעלה למחשבים נישאים ולטלפונים &quot;חכמים&quot; מתוצרת Psion)"
eponym,"אפונים, אדם אשר משמו נגזר שם מקום או דבר כלשהוא; שם רפואי למחלה הנגזר משמו של אדם; נושא משרה ציבורית לשעבר אשר שמו נמצא בשימוש לציון שנת כהונתו"
equal,"שווה, שווה-ערך"
equalize,"[e·qual·ize || 'iːkwəlaɪz]<br>להגיע לדרגה שווה, להישוות"
equanimity,"שלווה, קור-רוח"
equator,"משוון; קו-המשווה"
equidistance,"מרחק שווה"
"equip with","לצייד, לספק את הציוד המתאים, לתת את החומרים הנחוצים"
equitableness,"הגינות, צדק, שיוויון בפני החוק, אי משוא פנים"
"ere long","לפני"
erenow,"עד כה; לפני, בטרם"
ergogenic,"משפר ביצועים פיזיים"
ergographic,"ארגוגרפי, של ארגוגרף (מכשיר למדידת כמות העבודה של שריר בזמן התכווצות)"
erotology,"חקר התנהגות מינית ואהבה; חקר התעוררות החשק המיני; חקר ותיאור מעשה אהבה"
"erratic behavior","התנהגות בלתי יציבה, התנהגות בלתי שקולה"
eructation,"שיהוק; פליטת אדים"
"eruption of rage","פרץ זעם"
erythroblastotic,"של אריתרובלסטוזיס (אריתרובלסטים בדם, מחלה)"
erythropoietin,"אריתרופואיטין (חומר המווסת את ייצור כדוריות הדם האדומות)"
"escaping from punishment","התחמקות מעונש"
escarp,"ליצור מתלול, ליצור מדרון תלול"
escort,"משמר; ליווי"
esotericism,"אזוטריסיזם, תכונה אשר מיועדת לקבוצת אנשים מובחרת; סודיות; חכמת הנסתר, קבלה, כתב או דוקטרינה המיועדים לקבוצת אנשים מובחרת"
esparto,"גומא ספרדי (שם צמח), עשב חזק וקשוח שמוצאו בדרום ספרד וצפון אפריקה המפיק סיב בו משתמשים בתעשיית הנייר והחבל"
"espionage thriller","מותחן ריגול"
esteem,"הערכה"
ester,"אסטר, תרכובת אורגנית הנוצרת כתוצאה מתגובה בין חומצה לכוהל"
esthetical,"אסתטי, של או נוגע להערכת היופי; המראה חוש טעם מעודן"
"eternal city","עיר הנצח"
"eternal snow","שלג-עולמים, שלג-עד"
ethene,"(בכימיה) אתילן"
ethmoid,"אתמואידי, של אתמואיד (באנטומיה-שם עצם בבסיס הגולגולת)"
ethmoidal,"אתמואידי, של אתמואיד (באנטומיה-שם עצם בבסיס הגולגולת)"
ethnologically,"(באנתרופולוגיה) מבחינה אתנולוגית (ניתוח היסטורי של תרבויות, חקר מאפייני גזעים)"
etymologic,"אטימולוגי, של או השייך לאטימולוגיה, של או השייך לחקר מוצא המילים ולחקר נגזרות"
etymologist,"אטימולוג (עוסק באטימולוגיה-חקר שורשי מילים וגזרות דקדוקיות, חקר התפתחות מילים)"
euphonise,"להפוך משהו לערב לאוזן (גם euphonize)"
eurovision,"אירוויזיון (תחרות זמר אירופאית שנתית)"
evanescent,"נשכח, נעלם, חולף"
evasively,"תוך התחמקות"
even,"אפילו"
everblooming,"פורח תמיד"
"every last","כל אחד ואחד, עד-אחד (עד האחרון שבהם, כולם, הכול)"
"every time","כל פעם, בכל פעם ש-"
"everything but the kitchen sink","&quot;הכל חוץ מכיור המטבח&quot;, אמירה המצביעה על מספר רב של פריטים או חפצים שונים (לדוגמא: &quot;יש לי הכל בתיק היד שלי חוץ מכיור המטבח&quot;)"
evidentness,"היות ברור, בהירות, ללא ספק"
"evil man","רשע"
"evil urge","יצר הרע"
"evince earnestness","להפגין כנות, להוכיח כנות"
"ex officio","מכוח תפקיד (בסמכות שמקנה משרה, תוך ביצוע תפקיד)"
"exact sciences","מדעים מדויקים"
exalt,"לרומם; לשבח"
exaltedly,"בהתעלות, בהתרוממות, באופן נשגב, באופן נפלא"
examination,"מבחן, בחינה, בדיקה, חקירת-עד"
"exceeded the limits","עבר את הגבול, חרג מן המסגרת"
excerpt,"לבחור מובאה, לבחור קטע מספר"
"exchange blows","להחליף מהלומות"
"exchange of letters","חליפת מכתבים"
"exchange of population","חילופי אוכלוסייה , חילופי אוכלוסין"
